Question,Answer
How many devices can I log in using the same Jio bundled JioHotstar mobile number?,The login access works on one device at a time and only on the Jio mobile number on which the  JioHotstar  bundled offer recharge has been made.
Is the Jio JioHotstar bundled offer available for JioPhone/JioBharat users?,"Currently, the JioHotstar bundled offer is available only for smartphone users."
"I have heard that JioHotstar subscription charges are increasing on January 28, 2026. Is this true, and will my existing plan with JioHotstar benefits be affected?","Yes,  JioHotstar  is updating its standalone subscription charges starting January 28, 2026. However, this change only affects customers who subscribe directly via the JioHotstar app or other platforms. As a Jio user, your JioHotstar subscription is included in your plan benefits. This means you won’t be affected by the price change and can continue enjoying movies, shows, and live sports without paying extra. Your plan and benefits remain unchanged!"
What is the Zee5 & Sony LIV Bundle Recharge Offer?,"Great news for Jio  prepaid  users! Now you can recharge with Zee5 & Sony LIV bundled plans and enjoy access to premium content from Zee5 and Sony LIV apps. Watch the latest movies, web series, TV shows, and live sports. You can play, pause, and resume your favourite show at your convenience. 
 Visit  www.jio.com  for the latest Jio offers on Zee5/Sony LIV subscription and choose from a wide range of plans."
"Is the Zee5 & Sony LIV Bundle Recharge Offer available on recharges done via payment modes like Paytm, PhonePe, etc.?","Yes, the Zee5 & Sony LIV Bundle Recharge Offer is available across all channels:
 
 Offline:  All Jio and partner stores 
 Online:  Across any app/payment mode ( MyJio ,  Jio.com ,  JioTV , and Third Party Administrator)."
How can I access Zee5 or Sony LIV content after purchasing the Zee5 & Sony LIV bundled plan?,"Once the Zee5 & Sony LIV bundled plan is active on your mobile, please follow the below steps:
 
 First-time JioTV users: 
 
 Download and install the  JioTV  app on your mobile 
 Log in with your Jio prepaid mobile number with which you have done the recharge 
 Validate with OTP 
 Depending on your plan, you will be able to access the Zee5/Sony LIV content catalogue available on the JioTV home page. 
 
 
 Existing JioTV users: 
 
 If you are an existing JioTV user, you can directly log in to JioTV and start accessing premium OTT content."
How will I know if the Jio Zee5 & Sony LIV bundle plan was availed after recharge?,"You can check the status of your Zee5 & Sony LIV bundle plan via the subscriptions page on the MyJio and JioTV apps.
 
 Open the  MyJio / JioTV  app 
 Tap on ‘Profile’ 
 Select ‘Plan’ 
 Go to the ‘Offer Section’"
Am I supposed to complete the upgrade/installation after the Zee5 & Sony LIV Bundle Recharge Offer?,"In case you are a first-time user of the Zee5 and Sony LIV apps, you need to install/upgrade the apps after recharging with the Zee5 & Sony LIV Bundle Recharge Offer."
I don't have a Zee5 & Sony LIV app/account. How can I avail of the Zee5 & Sony LIV Bundle Recharge Offer?,"Once you recharge with the Zee5 & Sony LIV Bundle Recharge Offer, you need to install the  JioTV  app to access premium content on Zee5/Sony LIV."
How long is the Zee5 & Sony LIV Bundle Recharge Offer valid? Will I be charged anything extra for subscribing to Zee5/Sony LIV content?,"Once you recharge with the Zee5 & Sony LIV Bundle Recharge Offer, you don’t need to pay anything extra for Zee5/Sony LIV content as long your bundled plan is active. You can check the validity of your plan via the  MyJio  app."
I have an active Zee5 & Sony LIV subscription on my account with a Jio prepaid number. Can I still avail of the Zee5 & Sony LIV Bundle Recharge Offer?,"Your individual subscriptions to Zee5 and Sony LIV are independent of the Zee5 & Sony LIV Bundle Recharge Offer. Once you recharge, you will get separate subscriptions to the apps."
Do I need to have the Zee5 or Sony LIV app downloaded before activating the Zee5 & Sony LIV Bundle Recharge Offer?,"It is not necessary to download the apps before activation of the Zee5 & Sony LIV Bundle Recharge Offer. During activation, depending on the app status, premium content will be played through the  JioTV  app. If needed, you will be redirected to the App Store or Play Store to download the apps."
What does the crown on content thumbnails mean?,"The crown on the content thumbnail means that it is premium content that can be accessed only after purchasing the respective Jio Entertainment OTT plan. For example, to access Sony LIV premium content, you need to recharge with a Jio plan which has a Sony LIV subscription bundled in it."
I purchased the Zee5 & Sony LIV Bundle Recharge Offer but I am unable to see it in My Plans . What should I do?,"You can see the plan details from the  MyJio  app:
 
 Open the MyJio app 
 Go to ‘My Plans’ 
 Tap to view the plan details 
 
 
 Alternatively, you can reach out to RJIO Customer Care at 198/18008899999 or click  https://www.jio.com/help/contact-us  for support through chat or mail."
I am unable to play premium content even after availing of the Zee5 and Sony LIV Bundle Recharge with JioTV. What should I do?,"Kindly update your JioTV app to the latest version to enjoy premium OTT content. Alternatively, you can open the  MyJio  app, go to ‘My Plans’ and check if the recharged plan is in an active state. Your Zee5 & Sony LIV Bundle Recharge Offer starts from the day your plan is active. You can also reach out to RJIO Customer Care at 198/18008899999 or click on  https://www.jio.com/help/contact-us  for support through chat or mail."
What are the benefits of the Jio Entertainment OTT plans?,"The  Jio Entertainment OTT plans  provide you with access to premium content on OTT platforms. You can access entire content library, watch web series, movies, documentaries, international content, and more."
Will the subscription to a Jio Entertainment OTT plan consume a lot of data?,"JioTV player has adaptive bit rate handling, which means that the quality of the video will be adjusted based on the speed of your network and data will be consumed accordingly. You can also select high, medium, and low bit rates according to your preferences."
"After purchasing the Ultimate Entertainment Duo, can I watch the content on TV/web?","No, viewing of premium content is only available on mobile devices."
Can I directly log in to the OTT app to enjoy the Ultimate Entertainment Duo plan benefits?,"If you are recharging with a Jio plan with a subscription to Sony LIV or Zee5, you can access premium content only through the  JioTV  application."
"After recharging with Zee5 and Sony LIV Bundle Recharge with JioTV, can I download the content to watch it later?","Currently, the download option is not available on Zee5 & Sony LIV Bundle Recharge Offer. We will notify you once the download option is available."
How many devices can I log in to using the same Zee5 and Sony LIV Bundle Recharge with JioTV?,Login access works only on one device at a time. You can enjoy the benefits on the Jio mobile number on which the recharge has been made.
"After recharging with the Zee5 and Sony LIV Bundle Recharge with JioTV, can I share my number with my family and let them watch?","To share screens, please check the plan details and T&C. The number of screens that can be simultaneously used by different users, using the same plan, depends on the plan you select."
Is the Jio Zee5 & Sony LIV Bundle Offer available to the users of JioPhone/JioBharat?,"Currently, the Zee5 & Sony LIV Bundle Offer is only available for smartphone users."
What is the Jio Netflix Recharge Offer for Jio Customers?,"Jio  is offering a Netflix subscription to its prepaid customers along with bundled recharge at no extra cost. With Netflix, you can enjoy unlimited movies and TV shows from Hollywood to Bollywood, Indian regional movies, and popular TV shows, anytime, anywhere on your mobile devices. 
 You can choose from the following Jio Netflix Recharges:
 
 
 
 
 Plan 
 
 
 Benefits 
 
 
 Validity 
 
 
 
 
 ₹1,299 
 
 
 
 Netflix (Mobile) 
 Unlimited 5G data with Jio Welcome Offer 
 2 GB/day data 
 Unlimited Voice Calls 
 
 
 
 84 days 
 
 
 
 
 ₹1,799 
 
 
 
 Netflix (Basic) – large screen 
 Unlimited 5G data with Jio Welcome Offer 
 3 GB/day data 
 Unlimited Voice Calls 
 
 
 
 84 days"
"Is Jio Netflix Recharge Offer available on eligible recharge done through any mode or channel like Paytm, PhonePe, etc.?","Yes, ‘Netflix Bundle Recharge Offer’ is available across any mode:
 
 Offline: Jio Stores 
 Online: Across any app/payment mode ( MyJio ,  Jio.com , etc.)"
What is the process of watching Netflix content after activating a Netflix prepaid special recharge plan?,"Once Netflix prepaid special plan is active on your mobile, you can follow these two simple steps to activate your Netflix subscription:
 
 You need to install the  MyJio app  on your mobile, log in with a Jio prepaid number credentials and click on ‘Activate Now’ on the Netflix banner on the app homepage 
 Log in to Netflix with an existing Netflix account or by creating a new one and Netflix will be instantly activated"
How will I know the status of the Netflix offer whether availed or not under the Jio Netflix Recharge Offer?,The status of the Netflix offer can be checked via the subscription page on the  MyJio app .
Is there any other place other than the MyJio app from where I can activate my Netflix subscription?,"Yes, you can activate Netflix by logging on to  Jio.com  with your prepaid Jio number."
Am I supposed to complete the sign-up in every Netflix prepaid special recharge?,"No, once logged in, you can enjoy Netflix without re-logging in, as long as you are on an active eligible Netflix prepaid special recharge plan. In case you downgrade to a non-eligible plan or terminate your prepaid connection, Netflix benefits availed under this offer may cease to exist. 
   
 In case you return to an eligible plan (by doing an eligible recharge), you can reactivate the membership by following the two-step activation process.
 
 Log into the  MyJio app  on your mobile, log in with your Jio prepaid credentials and click on ‘Activate Now’ on the Netflix banner on the app’s homepage 
 Log in to Netflix with an existing Netflix account or by creating a new one and Netflix will be instantly activated"
I don't have a Netflix account. How can I avail of this offer?,You can sign up for a new account and activate the Netflix subscription.
How long is my Netflix subscription via Jio valid? Will I be charged anything extra for subscribing to Netflix?,"As long as you are on a  Netflix  prepaid special eligible plan offering Netflix, your Netflix plan subscription is included in your plan and you do not need to pay anything additional."
"How can I watch movies, shows on Netflix after taking a Netflix offer?","You can watch Netflix content on the Netflix app on your mobile phone (for Rs. 1,299 users) or on any large screen/mobile device (Rs. 1,799 users)."
What can I watch on Netflix after taking the Netflix Bundle Recharge Offer?,"Netflix  has an extensive global and local content library featuring award-winning Netflix originals, feature films, documentaries, TV shows, and more. The more you watch, the better Netflix gets at recommending TV shows and movies you’ll love.
You can play, pause, and resume watching without ads or commitments.
Plus, you can download your favourite shows to your iOS or Android mobile device. With downloads, you can watch while you're on the go and without an internet connection."
I already have an active Netflix subscription on my account with my Jio Prepaid number. Can I still avail myself of this offer?,"Yes, as part of the offer activation, you can connect your existing account to the  Netflix  Bundle Recharge Offer."
Can I take a Netflix offer on multiple devices using the same phone number?,You can take the offer only once per Jio Prepaid number but can log in to multiple mobile devices. Concurrent streaming on only one device is possible at a time.
How many screens/devices can I watch Netflix on availing of the Jio Netflix Recharge Offer?,"The Netflix app can be downloaded on multiple devices and be used with the same login credentials. However, you can only stream on one mobile or tablet device and TV or computer."
I have activated Netflix special plan with Netflix but the banner for activation is not getting displayed on the MyJio app. What should I do?,"Please check whether you have the latest version of the  MyJio app . If not, update the app. If you have the latest app and still banner is not visible, you can contact us at Jio Contact Centre."
What is the process to recover a forgotten Netflix/Mobile Login ID?,You need to log in to  Jio.com  or open your  MyJio app  and go to ‘Subscriptions’ to recover your Netflix login ID.
I accidentally clicked on the close button (x) and closed the Netflix activation banner. How can I activate the service now?,"No need to worry, please close and restart the  MyJio app . If you have not activated, activation banners would appear again."
Do I need to have the Netflix app downloaded before activation?,"It is not necessary to download the app before activation. During activation, depending on the app status, you will be redirected to the app (in case you have it) or to the Play Store (in case you do not have the app downloaded)."
"I have activated the Netflix subscription. However, I can still see the activation banner on MyJio.","The activation banner would disappear as soon as your account is successfully created and feedback for the same is received by Jio from the partner’s side. In case the activation is not successful, the banner would continue to remain there for you to activate the service."
"I m Jio postpaid user, can I activated Netflix subscription through bundle recharge?","No, Netflix bundle recharge offer is only for Jio prepaid users."
"I m an existing Jio Prepaid user, can I do Netflix subscription bundle recharge through any store?",Netflix  bundle recharge offer only available on  MyJio  & Jio.com as of now. In all Jio stores Netflix subscription offer is available for new activation.
I m currently on an active prepaid plan and performed a Netflix subscription recharge. Will I be immediately able to use a Netflix subscription?,"No, you need to first activate your  Netflix  bundle recharge from  MyJio  to use the Netflix subscription. In this case, your current and Netflix recharge plans will be run parallel. This means both plans would be active at the same time, allowing you to enjoy the benefits of both services without one affecting the other."
What is the Netflix offer with JioPostPaid Plus?,"Jio is offering  Netflix subscription plans  to its JioPostPaid Plus customers on select JioPostpaid plans at no extra cost. With Netflix, customers can enjoy unlimited movies and TV shows from Hollywood to Bollywood, Indian regional movies and popular TV shows, anytime, anywhere on their mobile devices."
"Is Netflix offer available on bill payment done through any mode or channel like paytm, phone pe etc.?","Yes, Netflix offer is available across any mode: 
Offline: Jio Stores 
Online: Across any app / payment mode ( MyJio ,  Jio.com , etc.)"
What is the process of watching Netflix content after activating JioPostpaid Plans?,"Once  eSIM 
 JioPostPaid  Plus connection is active on your mobile, you can follow these two simple steps to activate Netflix subscription: 
 
 You need to Install  eSIM 
 MyJio app  on your Mobile, login with JioPostPaid Plus credentials and click on the “Activate Now” on Netflix banner on the app homepage 
 Login to Netflix with an existing Netflix account or by creating a new one and Netflix will be instantly activated"
How will I know the status of Netflix offer whether availed or not under Postpaid Plus?,Status of Netflix offer can be checked via subscriptions page on  MyJio App .
Is there any other place other than MyJio App from where I can activate Netflix subscription under Jio Postpaid Plans?,"Yes, you can activate Netflix by logging on to  Jio.com  with JioPostPaid Plus number."
Am I supposed to complete the sign-up in every bill cycle under Postpaid Plans?,"No, once logged in, you can enjoy Netflix without re-login, as long as you ares on active eligible  JioPostPaid  Plus plan. In case you downgrade to a non-eligible plan or terminates your JioPostPaid Plus connection, Netflix benefits availed under this offer may cease to exist. 
 
In case you returnto an eligible plan (by clearing old dues, if any), you can reactivate the membership by following two step activation process."
How long is my Netflix subscription via Jio valid for? Will I be charged anything extra for subscribing to Netflix?,"As long as you are a  JioPostPaid  Plus plan user with on eligible plans offering Netflix, your Netflix mobile plan subscription is included in your plan and you do not need to pay anything additional."
Don't have Netflix account. How can I avail this offer?,Yes. You can sign up for a new account and activate the Netflix subscription.
"How can I watch movies, shows on Netflix after taking Netflix offer?",You can watch Netflix content on the Netflix app on your mobile phone
I already have an active Netflix subscription on my account with Jio Postpaid plans. Can I still avail this offer?,"Yes. As part of the offer activation, you can connect your existing account to the bundled offer."
What can I watch on Netflix after taking Netflix offer?,"Netflix has an extensive global and local content library featuring award-winning Netflix originals, feature films, documentaries, TV shows, and more. The more you watch, the better Netflix gets at recommending TV shows and movies you’ll love. 
   
 You can play, pause, and resume watching without ads or commitments. 
   
 Plus, you can download your favorite shows to your iOS or Android mobile device. With downloads, you can watch while you're on the go and without an internet connection."
Can I take Netflix offer on multiple devices using same phone number?,You can take the offer  only once  per JioPostpaid Plus number but can login into multiple mobile devices. Concurrent streaming on only one device is possible at a time.
I have JioFiber / Jio Prepaid / JioFi connection. Will I get Netflix offer?,The JioPostpaid Plus Netflix offer is only valid for eligible JioPostpaid Plus users only. You need to check your JioFiber/ Jio Prepaid / JioFi benefits on  MyJio app .
How many screens / devices can I watch Netflix on?,"The Netflix app can be downloaded on multiple devices and be used with the same login credentials. However, you can only stream on  one mobile or tablet device at a time . This plan also lets you download titles to one phone or tablet."
"I have activated JioPostpaid Plus plan with Netflix, but the banner for activation is not getting displayed on MyJio app, what should I do?","Please check whether you have the latest version of  MyJio  App, if not, update the App. If you have the latest App & still banner is not visible you should contact Jio Contact Center."
What is the process to recover forgotten Netflix Login ID?,"You need to login in to  jio.com  or open your MyJio app, go to Subscriptions to Recover your Netflix login id."
"I accidently clicked on (X) and closed the Amazon/Netflix activation banner, how can I activate the service now?","No need to worry, please close and restart the  MyJio app . In you have not activated, activation banners would appear again."
Do I need to have Netflix/Amazon app downloaded before activation?,"It is not necessary to download the app before activation. During activation, depending on the app status you will be redirected to app (in case you have it) or to Play store (in case you do not have the app downloaded)"
"I have activated Amazon / Netflix subscription, however, I can still see activation banner on MyJio?","The activation banner would disappear as soon as your account is successfully created and feedback for the same is received by Jio from partner’s side. In case the activation is not successful, the banner would continue to remain for you to activate the service."
I understand that Netflix has reduced the monthly subscription charge of Mobile only plan to Rs 149. Will this impact my Postpaid plus Bill amount?,"Your regular Jio plan bill amount will remains unchanged, despite price increase/decrease by some of the OTT partners"
"Since Jio was providing Rs 199 Netflix subscription as part of the Jio Post-paid Plus Plan , then with the changes in entitlements of 199, will I start getting Netflix Basic Plan wherein I can view the content on my TV / Laptop?","Your plan entitlement remains unchanged (Netflix Mobile subscription, JioHotstar Mobile subscription and 1 year Amazon Prime Membership (only applicable for the initial 1st Year)). However, you can upgrade to a Netflix plan of your choice by just paying the differential amount."
How do I activate Netflix which comes bundled as part of my JioPostpaid plan?,"You can easily activate Netflix service on your Jio Plan through MyJio or Jio.com by following below steps 
 
 Open the  MyJio  app or visit  Jio.com  and log in to your account. 
 On the top of the home page, navigate to Netflix Activate Now banner. 
 Select Activate Now on the Netflix banner to be directed to Netflix.com. 
 Follow the prompts to link your existing Netflix account or create a new Netflix account 
 Once your account is set-up, you can start enjoying content on Netflix"
What is the Sony LIV Add-on?,"This add-on provides 3GB data along with a 30-day  Sony LIV mobile subscription  to enjoy live cricket matches, shows, movies, and web series. Please note that the 3 GB additional data offered under this data add-on pack comes with a 5-day validity."
How can I activate the Sony LIV subscription?,"Recharge with the eligible SonyLiv Add-on pack   
 Download  JioTV app  and login with your Jio number  
 Sony LIV content (including live cricket matches) will be available under the premium tab within JioTV>"
How long is the Sony LIV subscription valid?,The Sony LIV subscription is valid for the 30 days from the date of recharge of the add-on pack.
Is the subscription auto renewed with my next recharge?,"No. The Sony LIV subscription will only be active for the validity of the subscription provided under eligible add-on pack. To continue, you need to recharge again with a Sony LIV bundled plan."
Will I get ad-free content on Sony LIV if I take this plan?,"With the Sony LIV subscription included in your Jio pack, you will get ad-free streaming on most content. However, as per Sony LIV’s policy, some content (like live sports, reality shows, and LIV Exclusives) may still show ads."
Where can I watch Sony LIV content after recharging?,"Sony LIV premium content can be accessed only through  JioTV app , under premium section."
Will Sony LIV subscription be working after the 5 GB data is over?,"Sony LIV premium subscription will stay active for 30 days from the date of recharge irrespective of the data balance. However, you need active data plan to play the content of Sony LIV app."
What is the new JioSaavn Pro bundle offer?,"Jio has introduced new  prepaid plans  bundled with JioSaavn Pro for its prepaid customers. No need to buy music subscription and connectivity separately. The new  JioSaavn   music subscription for Jio customers will start and end along with the regular plan. 
 
The new plans are available for new as well as existing users."
How can I get JioSaavn Pro on Jio number after bundle recharge?,"Getting a JioSaavn bundled recharge is simple and easy: 
 
 
 Recharge  with any of the JioSaavn bundled plans available in  MyJio ,  Jio.com , TPA or Jio authorised retail store. 
 Download and Sign-in  to the  JioSaavn  app with the same Jio mobile number on which JioSaavn bundled recharge is performed. 
 Enjoy  ad-free JioSaavn pro subscription."
I have an active recharge plan with 3 months remaining validity. Do I get JioSaavn on recharge with a bundled plan?,"You can recharge with a JioSaavn bundled plan. However, the new plan will go in queue and JioSaavn subscription will not get activated immediately. 
In order to activate JioSaavn, you will have to activate the JioSaavn bundled recharges from  MyJio  or  Jio.com"
Can I do multiple recharges of JioSaavn bundled plan?,"Yes, you can perform multiple recharges of JioSaavn bundled plan. The subsequent recharges will be in queue. You can activate the queued JioSaavn plans from  MyJio  or  Jio.com ."
What are JioSaavn pro benefits along with bundled recharge?,"JioSaavn Pro  music bundled recharge plans will provide  JioSaavn Pro subscription that is worth ₹99/month, at no additional cost. 
 
JioSaavan Pro provides ad-free music, unlimited downloads, set unlimited JioTunes, and listen to offline music with highest quality audio."
How can I start using JioSaavn Pro?,Just head over to ​Google Play Store​ or ​iOS App Store​ and download the music app  JioSaavn . Sign-in to the JioSaavn app with the same Jio mobile number on which JioSaavn bundled recharge is performed.
How do I select my Music Languages in JioSaavn Pro app?,"JioSaavn pro is available in 15 languages! Navigate to Settings, then click on the tile that says language. Select each language you’d like, and select ‘Done’ to the right-hand side."
How do I see my subscription details in JioSaavn Pro app?,"Simple! If you look to the right-hand side of your screen in JioSaavn Pro App, you’ll see that setting buttons is visible right on the top of the app. Click on it and you’ll see your subscription details in ‘My subscription’ tab."
I am an enterprise mobility customer. Can I take the JioSaavn bundled plan?,JioSaavn bundled offers are applicable only for retail customers. Enterprise users cannot opt for these recharges.
"I have an existing JioSaavn subscription. When I recharge with the new JioSaavn plans, what will happen to my existing JioSaavn subscription?","In case you already have a JioSaavn subscription of longer validity, then you will continue to enjoy the benefits till the validity of existing subscription. For example, if you already have a subscription which is valid for 6 months and you do a recharge with a plan (Rs. 269) which has 28 days of validity, then you will continue to enjoy the validity for 6 months as per existing subscription."
What is the Amazon Prime offer with JioPostPaid Plus?,"If you're on an eligible  JioPostPaid  Plus plan, you get 1 year of Amazon Prime membership at no extra cost. After 1 year, it will auto-renew to an Amazon Prime Lite annual plan at the prevailing market price."
Is this Amazon Prime membership Offer available to All JioPostPaid Plus users?,This offer is available to all  JioPostPaid  Plus users on eligible monthly rental plan. Details of eligible plan is available on  www.jio.com
What is the process of activating Amazon Prime membership after activating JioPostPaid Plus Plans?,"Once  JioPostPaid  plus connection is active on your mobile number, you can follow these three simple steps to activate Amazon Prime membership: 
 
 On plan activation, you will get an SMS from Jio with message/link details that leads to download of  MyJio  app 
 You will be required to Install MyJio app on your Mobile and click on the “Activate Now” on Amazon Prime banner on the app homepage 
 Login to Amazon from through the link provided to activate Amazon Prime membership with an existing Amazon account or by creating a new Amazon account and Amazon Prime membership will be instantly activated 
 Use the same credentials to log-in on to Amazon Prime video, Amazon Shopping and Amazon Music apps to enjoy the Amazon Prime benefits"
How will I know the status of Amazon Prime offer whether availed or not under Jio Postpaid Plans?,Status of Amazon Prime offer can be checked via current plan/subscriptions page on  MyJio  App.
What will be the benefits validity if I activate eligible JioPostpaid Plan on 1st of the month but complete the login of Amazon Prime after 10 days,"The 1 year validity of Amazon Prime membership starts from the day of Amazon Prime activation. You can enjoy Amazon Prime membership benefits uninterrupted for one year, if you remain active on an eligible  JioPostPaid  Plus plan. However, if within one year you downgrade your plan to an ineligible plan or is not on active eligible plan then Amazon Prime benefit will be cancelled."
Is there any other place other than MyJio App from where I can claim Amazon Prime membership?,"Yes, customer can also avail Amazon Prime membership by logging on to  jio.com  with JioPostPaid Plus number, following these simple steps: 
 
 Login to your JioPostPaid Plus account on  jio.com 
 Click on the Amazon Prime activation banner on top 
 Login to Amazon with an existing Amazon account or by creating a new one and Amazon Prime membership will be instantly activated 
 Use the same credentials to log-in on to Amazon Prime video, Amazon Shopping and Amazon Music apps to enjoy the Amazon Prime benefits"
Am I supposed to go through the Amazon Prime offer claim journey every month under Jio Postpaid Plans?,"No, once availed you can enjoy Amazon Prime benefits uninterrupted for 1 year, as long as you are on active eligible JioPostPaid Plus plan. In case you downgrade to an ineligible plan or terminates your JioPostPaid Plus connection, Amazon Prime membership benefits availed under this offer will get cancelled."
How long is my Amazon Prime membership via JioPostPaid Plus plan valid for? Will I be charged extra for subscribing to Amazon Prime?,"You are eligible to get 1 year of Amazon Prime at no extra cost, provided you continue to be on an eligible plan for the entire duration of 1 year subscription. After 1 year, your membership will auto-renew to an Amazon Prime Lite annual plan at the prevailing market price."
What happens at the end of one year or the offer period?,"Eligible  JioPostPaid  Plus users get one year of Amazon Prime membership at no extra cost. Post the offer period, the membership will be renewed and you will be charged at the prevailing market price of Amazon Prime membership at that time (as on  www.amazon.in/prime )."
I already have an active Amazon Prime membership on my account with Postpaid Plans. Can I still avail this offer?,This offer is not available for active Amazon Prime members. You can either wait till current membership expires or can take the offer on another Amazon account.
How can I watch Amazon Prime Video content after taking Amazon Prime with JioPostPaid Plus offer?,You can watch Amazon Prime Video content by downloading Amazon Prime Video App through your phone or tablet from PlayStore or AppStore. You can also stream on  primevideo.com  website through your desktop and laptops or on your TV via fire tv stick.
What all can I watch on Amazon Prime after taking Amazon Prime with JioPostPaid Offer?,"You can enjoy unlimited streaming anytime, anywhere of latest and popular movies and TV shows on Amazon Prime Video including the latest and exclusive blockbuster Hollywood, Bollywood and Indian Regional movies, top TV shows, stand-up comedies, kids programs and award winning Amazon Originals series like Mirzapur, The Family Man, Made In heaven Four More Shots Please!, Paatal Lok, Inside Edge, Tom Clancy’s Jack Ryan, and the recently released Mumbai Diaries 24/11."
What happens if I want to cancel Amazon Prime membership under Jio Postpaid Plans?,"One year of Amazon Prime membership is included in your JioPostpaid Plus plan at no additional cost. In case you wish to cancel your subscription within 1 year, you will lose the benefits associated with Amazon Prime membership. To cancel Amazon Prime subscription within one year, you are required to write to us at  care@jio.com"
What are the other benefits which I get under Amazon Prime membership apart from Prime Video under Jio Postpaid Plans?,"In addition to Prime Video, you will get

 
 Free fast delivery on millions of items 
 Early access to deals and discounts on eligible products 
 Access to free eBooks (Prime Reading) 
 Can stream ad-free music with unlimited offline downloads in multiple languages – English, Hindi, Tamil, Punjabi, Telugu, Bengali 
 Earn unlimited 5% reward points on purchases on Amazon.in using Amazon Pay ICICI Bank Credit Card 
 Complimentary 90 days free trial of audio books on audible"
Can I use the Amazon Prime offer on multiple devices using same phone number?,You can take the Amazon Prime offer only once for one JioPostpaid Plus Plan but can login into multiple devices with the same Amazon Prime ID. You can simultaneously stream on 3 devices
I am a JioFiber / Jio Prepaid / JioFi user. Will I get Amazon Prime offer?,The offer is only valid for eligible  JioPostPaid  Plus users. You need to check your JioFiber / Jio Prepaid / JioFi benefits on MyJio  app.
"I have activated JioPostpaid Plus plan with Amazon Prime, but the banner for activation is not getting displayed on MyJio app, what should I do?","Please check whether you have latest version of  MyJio  App, if not, update the App. If you have the latest App & banner is still not visible, you should reach out to Jio customer support at  care@jio.com"
What is the process if I have forgotten my Amazon Login ID?,You contact Jio customer support and receive the External ID. You can then share your External ID with Amazon customer support to get help with login credentials. Amazon customer support gets the required information and contacts back to you to recover login information.
I have upgraded to an eligible JioPostpaid Plus plan but I am still not able to watch Prime Video?,"You need to activate Amazon Prime through  MyJio  app to get one year of Amazon Prime at no extra cost. Also, please note that eligible  JioPostPaid  Plus plan need to be active plan and only after that you will be able to activate Amazon Prime through MyJio App."
"In case where my JioPostpaid Plus connection is in suspension/termination stage and I pay/clear my dues, will I get Amazon Prime benefit again?","1 year Amazon Prime subscription offer is a one time offer. In case the offer is cancelled, you will not be able to enjoy the same benefits even after clearing past dues and reactivating the connection."
What is JioAutoPay for Prepaid?,JioAutoPay  is a facility by which you can opt for recharge of your Prepaid number by using bank account number authenticating via net banking or debit card.
From where can I opt for JioAutoPay?,You can set up  JioAutoPay  through Self-care (Jio.com & MyJio app). Shortly it shall be also available at Jio Stores/Retailers.
When will my card / account / wallet be charged if I have set up a JioAutoPay for recharge?,"Payment for  JioAutoPay  shall be presented to the bank 5 days before the date of expiry of current plan. However for long-term plans with no daily FUP, 
 JioAutoPay shall be presented to the bank basis your data usage reaching 90% of the data entitlement of your plan. Please note that Jio reserves the right to make changes to the above clause threshold based on the data usage and payment cycles. Jio will inform you about such change in advance."
When will I know if my account is getting debited?,"You will be notified 7 days before the expiry of the plan regarding the auto recharge debit. 5 days before the plan expiry,  JioAutoPay  will be presented to the bank for payment and re-attempted before 1 day in case of first failed attempt. This will be notified on your registered email account & registered mobile number."
Can I set up JioAutoPay for Add-on / Top Up / ISD / roaming packs?,No you cannot set up the  JioAutoPay  for Add-on / Top Up / ISD  roaming packs. The JioAutoPay is applicable only on  recharge  plan.
"If due to any reason, the recharge through JioAutoPay fails, will I be notified?","Yes, you will be notified through your registered email account & registered mobile number with the recharge failure reasons."
"If due to any reason, the recharge through JioAutoPay fails, will Jio reattempt the transaction automatically or will I have to recharge again?","If one or more successive payments/instructions are not honored on or before the due date, Jio reserves the right to withdraw the  JioAutoPay  facility without giving any notice, and to initiate any other action/proceedings as may be deemed appropriate by the Jio for recovery of the unpaid amount from you. In the event your standing instruction is dishonored by bank, penalty charge (or such other amount as specified by Jio from time to time) may be levied per instance of such failure of receipt of payment."
I already have 3 plans in queue and I have signed up for JioAutoPay. Will the charging start automatically based on current plan expiry OR after expiry of all plans in queue?,"After the expiry of all the queued plans, the  JioAutoPay  services will be activated however, only >= 149 paid queue plan shall be considered as queued plan for JioAutoPay instruction to bank."
Will I receive an invoice in case of JioAutoPay debits?,Yes. An invoice will be available to you through Self-Care (MyJio/Jio.com).
How can I change the recharge amount in JioAutoPay?,"The option to change the  JioAutoPay  Recharge Amount is available on the  MyJio app  and www.jio.com/myaccount. 
   
 Here're steps to change your plan via MyJio:
 
 Step 1: Open the MyJio app 
 Step 2: Click on the menu option (top left corner) 
 Step 3: Tap on 'JioPay' 
 Step 4: Select  JioAutoPay 
 Step 5: Under details, select 'Change Plan' 
 Step 6: Select the “Plan” of your choice and click on proceed 
 Step 7: You will see a confirmation message and an SMS notification stating: 
 
 “Your request for 'Change Plan' has been successfully submitted. 
 
Any modification/cancellation of AutoPay shall be effective from the upcoming debit trigger of AutoPay which is 5 days before the expiry of the (last) active plan or upon 90% of the data consumption for long-term plans with no daily data limit."""
